,,,,,,,,,,,,,,ada,Bagging,Cat,DT,Gau,GradientB,KNN,LGBM,LR,MLP,RF,XGB
dataset,models,accuracy,precision,recall,f1,roc_auc,mean,sd,,dataset,mean,sd,se,0.94,0.9,0.94,0.78,0.87,0.94,0.86,0.94,0.92,0.91,0.92,0.93
Telcom,Gradient Boosting,0.88,0.78,0.82,0.8,0.94,0.904166667,0.047569726,,Telcom,0.904166667,0.047569726,0.013732197,0.97,0.98,0.98,0.92,0.84,0.98,0.94,0.98,0.89,0.97,0.98,0.98
Telcom,Catboost,0.88,0.8,0.79,0.8,0.94,,,,Internet,0.950833333,0.045618643,0.013168968,0.85,0.83,0.87,0.69,0.81,0.87,0.73,0.87,0.83,0.85,0.85,0.84
Telcom,AdaBoost,0.87,0.72,0.85,0.78,0.94,,,,Bank,0.824166667,0.056962242,0.016443583,0.98,0.97,0.99,0.89,0.85,0.99,0.89,0.99,0.93,0.97,0.98,0.99
Telcom,Lightgbm,0.87,0.77,0.78,0.77,0.94,,,,Credit Card,0.951666667,0.049144191,0.014186706,0.93,0.98,0.99,0.94,0.8,0.94,0.93,0.99,0.9,0.98,0.99,0.99
Telcom,XGboost,0.88,0.78,0.78,0.78,0.93,,,,E-Commerce,0.946666667,0.055650424,0.016064894,0.86,0.77,0.86,0.6,0.84,0.85,0.68,0.84,0.9,0.89,0.83,0.83
Telcom,Random Forest,0.87,0.78,0.75,0.77,0.92,,,,Employee,0.8125,0.088536074,0.025558163,0.91,0.93,0.96,0.86,0.75,0.93,0.83,0.96,0.76,0.94,0.94,0.96
Telcom,Logistic Regression,0.83,0.65,0.88,0.75,0.92,,,,Telco Europa,0.894166667,0.076331613,0.022035039,0.85,0.83,0.86,0.67,0.8,0.85,0.73,0.86,0.83,0.82,0.85,0.85
Telcom,MLP,0.85,0.7,0.79,0.74,0.91,,,,Cell2Cell,0.816666667,0.058672176,0.016937198,0.69,0.68,0.71,0.58,0.62,0.71,0.63,0.71,0.65,0.68,0.69,0.69
Telcom,Bagging,0.85,0.75,0.73,0.74,0.9,,,,Membership,0.67,0.041341153,0.011934163,0.84,0.8,0.86,0.66,0.75,0.85,0.7,0.84,0.81,0.8,0.85,0.84
