iter	Logloss
0	0.6098038704
1	0.5402673375
2	0.4818784932
3	0.4359132572
4	0.4025994903
5	0.3741766391
6	0.3514781456
7	0.3323965229
8	0.3140255357
9	0.3000849098
10	0.2873646596
11	0.2767125335
12	0.2671574809
13	0.2599758033
14	0.2524210343
15	0.2475268102
16	0.2435590076
17	0.2382267726
18	0.2333782539
19	0.2290709088
20	0.2258387074
21	0.2235979128
22	0.2189267995
23	0.2164711255
24	0.2139137004
25	0.2118826228
26	0.2098069158
27	0.2086131636
28	0.2070953687
29	0.2052833065
30	0.2030415983
31	0.2014865914
32	0.200444828
33	0.1991599258
34	0.1977682832
35	0.1965805672
36	0.1952256512
37	0.1942440857
38	0.1932304389
39	0.1925097737
40	0.191370927
41	0.1905594192
42	0.1898122907
43	0.1889200583
44	0.1881791972
45	0.1871391196
46	0.1867554296
47	0.1860000363
48	0.1853907255
49	0.1850396015
50	0.1843899647
51	0.183799482
52	0.1833489976
53	0.1828731294
54	0.1822553302
55	0.1818673382
56	0.1810353518
57	0.1805478306
58	0.1801712461
59	0.179797199
60	0.1790321321
61	0.1785838211
62	0.1783185731
63	0.1777887598
64	0.1774068948
65	0.1770267576
66	0.1766660638
67	0.176397334
68	0.1760251753
69	0.1753090382
70	0.1750215169
71	0.17457353
72	0.1742283381
73	0.1737103731
74	0.173520942
75	0.1731780073
76	0.1728328657
77	0.1724551365
78	0.1722203605
79	0.1720307783
80	0.1716464237
81	0.1712700844
82	0.1708303421
83	0.1706407944
84	0.1702840583
85	0.1700660895
86	0.1698265908
87	0.1695408336
88	0.1692859688
89	0.1690473925
90	0.1685841162
91	0.168359777
92	0.1680120789
93	0.1678068781
94	0.1676099855
95	0.1673543851
96	0.1671398767
97	0.1669608842
98	0.1666271238
99	0.1663752879
100	0.1661060982
101	0.1659244844
102	0.1658027822
103	0.1656506691
104	0.1654856874
105	0.1653375403
106	0.1651813867
107	0.1649758584
108	0.1647323412
109	0.1645692147
110	0.1643945882
111	0.1642105662
112	0.1639992278
113	0.1638166036
114	0.1635712707
115	0.1635039387
116	0.1631485838
117	0.1629729779
118	0.1627834913
119	0.1627008666
120	0.1625549446
121	0.1623075199
122	0.1621615317
123	0.1620001914
124	0.1617496602
125	0.161689213
126	0.1615164347
127	0.1613861933
128	0.1612881214
129	0.16114072
130	0.160978575
131	0.1609020342
132	0.1607927815
133	0.1606780277
134	0.1604564994
135	0.1602910374
136	0.1601516122
137	0.1599822613
138	0.1598832434
139	0.1597884772
140	0.1595191457
141	0.1594506362
142	0.1593398196
143	0.159188619
144	0.1590353223
145	0.158913869
146	0.1587314482
147	0.1584370625
148	0.1583209355
149	0.1581625682
150	0.1579501552
151	0.1576928079
152	0.1575140153	153	0.157367154	0154	0.157211155	0155	0.157047156	0156	0.156938157	0157	0.156697158	0158	0.156547159	0159	0.156490160	0160	0.156395161	0161	0.156238162	162	0.1560854163	163	0.1559359164	164	0.1557520165	0.1547290779
166	0.1546178466
167	0.1545312656
168	0.1542846367
169	0.154203586
170	0.1540560511
171	0.1539183814
172	0.1538452983
173	173	0.1544574174	0.1536067901
175175	0.15417767176	0.1533840715
177	0.1532159028
178	0.1530091137
179	0.1528844255
180	0.1527983785
181181	0.15348954182182	0.1533669311
183	0.153257682
184	0.1531802897
185	0.1530907495
186	0.152913365
187	0.1527689321
188	0.1526974047
189	0.1525732709
190	0.1525007163
191	0.1524250399
192	0.1522948659
193	0.1522037665
194	0.1521305343
195	0.1520465717
196	0.1520088541
197	0.151824133
198	0.1517484424
199	0.1515979109
200	0.1515368621
201	0.1513935177
202	0.1513344896
203	0.1512662367
204	0.1511490657
205	0.1509825436
206	0.1509339692
207	0.1508172789
208	0.1507416928
209	0.1506812928
210	0.150623351
211	0.1505800082
212	0.1504842667
213	0.1503322322
214	0.1502362447
215	0.150111584
216	0.1500329678
217	0.1499687117
218	0.1499163511
219	0.1498339281
220	0.1497654612
221	0.149638829
222	0.1495116657
223	0.1494549504
224	0.1493043871
225	0.1492286219
226	0.1491808249
227	0.1489920467
228	0.1489311434
229	0.1488391174
230	0.1487562827
231	0.148677303
232	0.1486204123
233	0.1485671472
234	0.1484456765
235	0.1483876275
236	0.1482989345
237	0.1482158522
238	0.1481339704
239	0.1480467501
240	0.1479489464
241	0.1477465706
242	0.1476982207
243	0.1476330833
244	0.1475814753
245	0.1475597008
246	0.1475333229
247	0.1474794736
248	0.1474442366
249	0.1473576344
250	0.1472939976
251	0.1472417751
252	0.147197736
253	0.147148445
254	0.1470730936
255	0.1469902792
256	0.1469283957
257	0.1468328864
258	0.1467784896
259	0.1467482707
260	0.1466297051
261	0.1465500118
262	0.1465112431
263	0.1464340393
264	0.146396625
265	0.1463292941
266	0.1462644585
267	0.1462070751
268	0.1461744587
269	0.1461160069
270	0.1460669982
271	0.1460169162
272	0.145970109
273	0.1458803744
274	0.145822476
275	0.1457807264
276	0.1457467795
277	0.1456611207
278	0.1456263327
279	0.1455811597
280	0.1455530664
281	0.145390606
282	0.1452939937
283	0.1452236194
284	0.14516171172285	0.14509903342286	0.145054332
287	0.1444103456
288	0.1449323385
289	0.1448297631
290	0.1447823124
291	0.1447484735
292	0.1446195399
293	0.1440393844294	0.1445142778
2295	0.1438978595296	0.1444329628
297	0.1442973603
298	0.1442586104
299	0.1441996266
300	0.1441386081
301	0.1440589277
302	0.1439887061
303	0.143876371
304	0.1438190004
305	0.1437474674
306	0.1437147829
307	0.1436737909
308	0.1436290912
309	0.1435636655
310	0.1435306421
311	0.1434993769
312	0.1434645181
3313	0.14277827173314	0.14270732013315	0.142629472
316	0.1425903062
317	0.1425433993
318	0.142490944
319	0.1424384883
320	0.1423997864
321	0.1423116764
322	0.1422574587
323	0.1422221045
324	0.1421882964
325	0.1421477725
326	0.1421037713
327	0.1420615806
328	0.1420159147
329	0.1419784663
330	0.1419092369
331	0.1418856057
332	0.1418429032
333	0.1417870829
334	0.1417417612
335	0.1416993233
336	0.1416395998
337	0.1415969535
338	0.1415544433
339	0.141489405
340	0.1414382568
341	0.1413764923
342	0.1413007403
343	0.14120748834344	0.14114555734345	0.14104876334346	0.14098463634347	0.14093187734348	0.14088755034349	0.14081804135350	0.14076525351351	0.14071656352352	0.14064359353353	0.1405727935354	0.14050142355355	0.1404534356	356	0.1404258357	357	0.1403930358	358	0.1403607359	359	0.1403173360	360	0.1402655361	361	0.1401922362	362	0.1401356363	363	0.140112364	0364	0.140057365	0365	0.139986366	0366	0.13994367	0.1407435461
368	0.1406958132
369	0.1406624233
370	0.370	0.13975371	0.1405722819
372	0.1405415936
373	0.1404842187
374	0.1404652117
375	0.1404009827
376	0.1403518478
377	0.1403212507
378	0.1402786955
379	0.1402418758
380	0.1401970593
381	0.1401880756
382	0.1401613866
383	0.1401216102
384	0.140046196
385	0.1400172437
386	0.1399611756
387	0.1399115222
388	0.1398666187
389	389	0.1388517390	390	0.1388171391	391	0.138762392	0392	0.138694393	0.1395947442
394	0.139555519
395	0.1395160598
396	0.1394305279
397	0.1393619191
398	0.139336843
399	0.1393209242
400	0.1392938573
401	0.1392359343
402	0.1391588087
403	0.1391183656
404	0.1390745149
405	0.1390441479
406	0.139020424
407	0.1389730986
408	0.1389165137
409	0.1388727329
410	0.1388391709
411	0.1387349326
412	0.1387018607
413	0.1386588606
414	0.1386234982
415	0.1386145124
416	0.1385657972
417	0.1385223919
418	0418	0.137648419	0.138429648
420	0.1384028375
421	0.1383751783
422	0422	0.13748423	0.423	0.13745424	0.424	0.13735425	0.1381654986
426	0.1381450654
427	0.1380990194
428	0.1380664099
429	0.1380482858
430	0.1379988058
431	0.1379525068
432	0.1379084207
433	0.1378816604
434	0.137829938
435	0.1377847196
436	0.1377698105
437	0.1377313403
438	0.1376959476
439	0.1376407545
440	0.1376292183
441	0.1375669746
442	0.137537861
443	0.1375102961
444	0.1374871601
445	0.1374509227
446	0.1374312181
447	0.1373944492
448	0.1373319384
449	0.1372927819
450	0.1372468212
451	0.1372064192
452	0.1371807618
453	0.1371299621
454	0.1371082846
455	0.1370488505
456	0.1370349013
457	0.1369959414
458	0.1369789596
459	0.1369065391
460	0.136833979
461	0.136821119
462	0.1368038276
463	0.1367330205
464	0.1366730337
465	0.13465	0.135466	0.1466	0.1357467	0.1467	0.1357468	0.1365434336
469	0.1365055908
470	0.1364709917
471	0.1364146046
472	0.1363989882
473	0.1363698195
474	0.136340813
475	0.1363020508
476	0.1362627605
477	0.136195546
478	0.136195546
479	0.1361539426
480	0.136120971
481	0.136085915
482	0.1360568718
483	0.136035313
484	0.13600155
485	0.13594513548486	0.13590978748487	0.13588266048488	0.13584084448489	0.1358257294490	0.13578164384491	0.13575860244492	0.13573966054493	0.13571614754494	0.13568145064495	0.13563649184496	0.13561460444497	0.13559142864498	0.13557115364499	0.13550279334500	0.13546853855501	0.1354342045
502	0.1353908961
503	0.1353541756
504	0.13533670675505	0.1352950757
506	0.1352499965
507	0.1352265888
508	0.135185783
509	0.1351569576
510	0.1351281939
511	0.1350734349
512	0.1350167283
