iter	Passed	Remaining
0	14	14406
1	28	14112
2	42	14030
3	58	14640
4	76	15312
5	94	15652
6	110	15615
7	126	15722
8	143	15814
9	161	16000
10	177	15915
11	197	16227
12	209	15903
13	225	15850
14	243	15977
15	261	16106
16	276	15972
17	295	16107
18	309	15999
19	327	16037
20	346	16171
21	358	15950
22	375	15958
23	392	15973
24	415	16186
25	433	16238
26	449	16183
27	468	16262
28	483	16202
29	503	16281
30	521	16304
31	539	16333
32	558	16360
33	572	16275
34	587	16210
35	605	16213
36	623	16238
37	640	16205
38	656	16174
39	673	16164
40	689	16116
41	708	16168
42	729	16234
43	745	16206
44	762	16172
45	780	16192
46	799	16201
47	817	16222
48	834	16187
49	850	16156
50	866	16122
51	884	16118
52	901	16116
53	920	16118
54	935	16066
55	949	16011
56	967	16007
57	985	16010
58	1004	16023
59	1023	16035
60	1043	16059
61	1059	16022
62	1077	16022
63	1091	15961
64	1108	15944
65	1124	15913
66	1141	15899
67	1156	15856
68	1177	15889
69	1197	15904
70	1214	15894
71	1235	15929
72	1250	15885
73	1268	15872
74	1282	15812
75	1299	15800
76	1314	15756
77	1334	15777
78	1347	15713
79	1363	15675
80	1379	15653
81	1397	15647
82	1417	15660
83	1432	15624
84	1451	15622
85	1467	15599
86	1485	15590
87	1500	15549
88	1518	15540
89	1534	15514
90	1552	15510
91	1572	15515
92	1589	15500
93	1607	15492
94	1623	15462
95	1639	15439
96	1657	15431
97	1676	15431
98	1696	15436
99	1717	15453
100	1735	15449
101	1751	15422
102	1770	15422
103	1788	15411
104	1807	15403
105	1823	15383
106	1841	15371
107	1856	15334
108	1873	15317
109	1897	15349
110	1914	15333
111	1931	15315
112	1951	15315
113	1972	15326
114	1994	15349
115	2012	15339
116	2034	15352
117	2054	15356
118	2075	15366
119	2098	15388
120	2114	15362
121	2135	15370
122	2153	15357
123	2174	15362
124	2196	15372
125	2215	15364
126	2233	15355
127	2251	15339
128	2271	15335
129	2287	15310
130	2310	15327
131	2325	15294
132	2343	15277
133	2361	15259
134	2383	15269
135	2394	15214
